cod_ibge7;municipio;porte;ra;ano;prest_a;natjur_a;in023;in049;in051;in053
3505302;Barra Bonita;Mais de 20 mil a 50 mil;RA Bauru;2018;Serviço Autônomo de Água e Esgoto;Autarquia;100;28,57;207,62;15,79
3505351;Barra do Chapéu;Mais de 5 mil a 10 mil;RA Itapeva;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;33,29;154,86;9,27
3505401;Barra do Turvo;Mais de 5 mil a 10 mil;RA Registro;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;22,36;94,68;9,96
3505500;Barretos;Mais de 100 mil a 500 mil;RA Barretos;2018;Serviço Autônomo de Água e Esgoto de Barretos;Autarquia;100;41,51;230,91;9,88
3505609;Barrinha;Mais de 20 mil a 50 mil;RA Ribeirão Preto;2018;Prefeitura Municipal de Barrinha;Administração pública direta;100;20;216,45;23,46
3505708;Barueri;Mais de 100 mil a 500 mil;RM São Paulo;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;38,56;386,45;12,46
3505807;Bastos;Mais de 20 mil a 50 mil;RA Marília;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;11,77;59,56;13,54
3505906;Batatais;Mais de 50 mil a 100 mil;RA Franca;2018;Prefeitura Municipal de Batatais;Administração pública direta;100;18,49;172,23;22,63
3506003;Bauru;Mais de 100 mil a 500 mil;RA Bauru;2018;Departamento de Água e Esgoto;Autarquia;99,95;33,92;351,78;15,73
3506102;Bebedouro;Mais de 50 mil a 100 mil;RA Barretos;2018;Serviço Autônomo de Água e Esgoto de Bebedouro;Autarquia;100;20,01;196,43;23,89
3506201;Bento de Abreu;Até 5 mil;RA Araçatuba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;25,67;142,63;12,36
3506300;Bernardino de Campos;Mais de 10 mil a 20 mil;RA Marília;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;25,67;133,06;11,63
3506359;Bertioga;Mais de 50 mil a 100 mil;RA Santos;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;74,37;41,69;345,85;11,03
3506409;Bilac;Mais de 5 mil a 10 mil;RA Araçatuba;2018;Prefeitura Municipal de Bilac;Administração pública direta;100;7,27;33,86;12,85
3506508;Birigui;Mais de 100 mil a 500 mil;RA Araçatuba;2018;Prefeitura Municipal de Birigui;Administração pública direta;100;45,08;528,77;16,91
3506607;Biritiba Mirim;Mais de 20 mil a 50 mil;RM São Paulo;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;64,48;30,93;146,07;9,43
3506805;Bocaina;Mais de 10 mil a 20 mil;RA Bauru;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;29,04;172,07;12,5
3506904;Bofete;Mais de 10 mil a 20 mil;RA Sorocaba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;93,27;21,24;92,82;10,43
3507001;Boituva;Mais de 50 mil a 100 mil;RA Sorocaba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;89,44;25,13;149,23;12,92
3507100;Bom Jesus dos Perdões;Mais de 20 mil a 50 mil;RA Campinas;2018;Prefeitura Municipal de Bom Jesus dos Perdoes;Administração pública direta;96,97;24,31;169,08;15,81
3507159;Bom Sucesso de Itararé;Até 5 mil;RA Itapeva;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;85,28;35;180,03;10,03
3507209;Borá;Até 5 mil;RA Marília;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;15,3;66,17;11,13
3507308;Boracéia;Até 5 mil;RA Bauru;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;29,67;185,25;13,15
3507407;Borborema;Mais de 10 mil a 20 mil;RA Central;2018;Prefeitura Municipal de Borborema;Administração pública direta;100;39,53;290,88;12,98
3507506;Botucatu;Mais de 100 mil a 500 mil;RA Sorocaba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;36,5;248,39;12,11
3507605;Bragança Paulista;Mais de 100 mil a 500 mil;RA Campinas;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;98,02;26,53;162;11,68
3507704;Braúna;Mais de 5 mil a 10 mil;RA Araçatuba;2018;Serviço Autônomo de Saneamento Ambiental de Braúna;Autarquia;98,8;1,37;5,29;11,62
3507753;Brejo Alegre;Até 5 mil;RA Araçatuba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;17,74;91,21;12,68
3507803;Brodowski;Mais de 20 mil a 50 mil;RA Ribeirão Preto;2018;Serviço Autônomo de Água e Esgoto de Brodowski;Autarquia;100;5,17;35,53;19,58
3507902;Brotas;Mais de 20 mil a 50 mil;RA Campinas;2018;Serviço Autônomo de Água e Esgoto de Brotas;Autarquia;100;39,93;328,5;15,03
3508009;Buri;Mais de 20 mil a 50 mil;RA Itapeva;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;24,87;119,98;10,79
3508108;Buritama;Mais de 10 mil a 20 mil;RA Araçatuba;2018;Serviço Autônomo de Água e Esgoto e Meio Ambiente de Buritama;Autarquia;99,77;0;0;14,84
3508207;Buritizal;Até 5 mil;RA Franca;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;24,01;129,99;12,43
3508306;Cabrália Paulista;Até 5 mil;RA Bauru;2018;Prefeitura Municipal de Cabrália Paulista;Administração pública direta;99,97;2,47;11,43;13,11
3508405;Cabreúva;Mais de 20 mil a 50 mil;RA Campinas;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;87,21;33,49;230,98;13,15
3508504;Caçapava;Mais de 50 mil a 100 mil;RA São José dos Campos;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;38,86;262,04;11,9
3508603;Cachoeira Paulista;Mais de 20 mil a 50 mil;RA São José dos Campos;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;27,44;153,78;12,06
3508702;Caconde;Mais de 10 mil a 20 mil;RA Campinas;2018;Prefeitura Municipal de Caconde;Administração pública direta;97,77;77,91;1.073,63;9,04
3508801;Cafelândia;Mais de 10 mil a 20 mil;RA Bauru;2018;Prefeitura Municipal de Cafelândia;Administração pública direta;99,75;28,53;173,23;13,08
3508900;Caiabu;Até 5 mil;RA Presidente Prudente;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;14,57;62,68;10,99
3509007;Caieiras;Mais de 50 mil a 100 mil;RM São Paulo;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;99,83;27,07;142,83;10,43
3509106;Caiuá;Mais de 5 mil a 10 mil;RA Presidente Prudente;2018;Prefeitura Municipal de Caiuá;Administração pública direta;98,15;19,51;235,68;29,57
3509205;Cajamar;Mais de 50 mil a 100 mil;RM São Paulo;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;30,44;196,27;10,37
3509254;Cajati;Mais de 20 mil a 50 mil;RA Registro;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;28,69;160,54;11,63
3509304;Cajobi;Mais de 5 mil a 10 mil;RA Barretos;2018;Serviço Municipal Autônomo de Água e Esgoto;Autarquia;99,63;13,01;73,93;14,51
3509403;Cajuru;Mais de 20 mil a 50 mil;RA Ribeirão Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;22,6;117,62;11,76
3509452;Campina do Monte Alegre;Mais de 5 mil a 10 mil;RA Itapeva;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;22,84;94,33;9,59
3509502;Campinas;Mais de 500 mil;RA Campinas;2018;Sociedade de Abastecimento de Água e Saneamento;Sociedade de economia mista com administração pública;99,81;20,79;163,3;12,92
3509601;Campo Limpo Paulista;Mais de 50 mil a 100 mil;RA Campinas;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;79,36;46,07;376,07;12,8
3509700;Campos do Jordão;Mais de 20 mil a 50 mil;RA São José dos Campos;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;65,24;28,83;233,24;15,54
3509809;Campos Novos Paulista;Até 5 mil;RA Marília;2018;Prefeitura Municipal de Campos Novos Paulista;Administração pública direta;98,28;0;0;13,76
3509908;Cananéia;Mais de 10 mil a 20 mil;RA Registro;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;98,56;24,86;124,34;11,33
3509957;Canas;Até 5 mil;RA São José dos Campos;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;27,32;153,13;12,3
3510005;Cândido Mota;Mais de 20 mil a 50 mil;RA Marília;2018;Serviço Autônomo de Água e Esgoto;Autarquia;99,74;24,59;145,94;13,62
3510104;Cândido Rodrigues;Até 5 mil;RA Central;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;16,14;79,64;12,08
3510203;Capão Bonito;Mais de 20 mil a 50 mil;RA Itapeva;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;23,23;109,26;10,9
3510302;Capela do Alto;Mais de 20 mil a 50 mil;RA Sorocaba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;27,6;143,65;11,26
3510401;Capivari;Mais de 50 mil a 100 mil;RA Campinas;2018;Serviço Autônomo de Água e Esgoto;Autarquia;100;18,52;108,23;13,99
3510500;Caraguatatuba;Mais de 100 mil a 500 mil;RA São José dos Campos;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;83,75;31,34;191,06;10,75
3510609;Carapicuíba;Mais de 100 mil a 500 mil;RM São Paulo;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;37,25;292,22;10,29
3510708;Cardoso;Mais de 10 mil a 20 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;16,65;72,32;10,89
3510807;Casa Branca;Mais de 20 mil a 50 mil;RA Campinas;2018;Águas de Casa Branca SPE Ltda.;Empresa privada;100;28,59;165,21;12,36
3510906;Cássia dos Coqueiros;Até 5 mil;RA Ribeirão Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;19,61;100,03;12,26
3511003;Castilho;Mais de 10 mil a 20 mil;RA Araçatuba;2018;Empresa Águas de Castilho S/A;Empresa privada;98,76;30,41;177,45;10,91
3511102;Catanduva;Mais de 100 mil a 500 mil;RA São José do Rio Preto;2018;Superintendência de Água e Esgoto de Catanduva;Autarquia;99,08;18,16;123,66;14,14
3511201;Catiguá;Mais de 5 mil a 10 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;15,54;77,54;12,72
3511409;Cerqueira César;Mais de 20 mil a 50 mil;RA Sorocaba;2018;Prefeitura Municipal de Cerqueira César;Administração pública direta;100;0;0;23,62
3511508;Cerquilho;Mais de 20 mil a 50 mil;RA Sorocaba;2018;Serviço Autônomo de Água e Esgoto de Cerquilho;Autarquia;96,25;37,76;265,01;13,25
3511607;Cesário Lange;Mais de 10 mil a 20 mil;RA Sorocaba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;21,06;103,81;11,58
3511706;Charqueada;Mais de 10 mil a 20 mil;RA Campinas;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;38,2;276,77;13,54
3511904;Clementina;Mais de 5 mil a 10 mil;RA Araçatuba;2018;Prefeitura Municipal de Clementina;Administração pública direta;100;17,52;89,61;11,96
3512001;Colina;Mais de 10 mil a 20 mil;RA Barretos;2018;Serviço Autônomo de Água e Esgoto de Colina;Autarquia;94,42;33,89;243,71;14,45
3512100;Colômbia;Mais de 5 mil a 10 mil;RA Barretos;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;22;122,56;13,05
3512209;Conchal;Mais de 20 mil a 50 mil;RA Campinas;2018;Prefeitura Municipal de Conchal;Administração pública direta;99,9;6,38;54,97;24,54
3512308;Conchas;Mais de 10 mil a 20 mil;RA Sorocaba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;88,53;34,38;199,3;11,24
3512407;Cordeirópolis;Mais de 20 mil a 50 mil;RA Campinas;2018;Serviço Autônomo de Água e Esgoto de Cordeirópolis;Autarquia;100;19,8;111,92;13,46
3512506;Coroados;Mais de 5 mil a 10 mil;RA Araçatuba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;16,51;82,8;12,56
3512605;Coronel Macedo;Até 5 mil;RA Itapeva;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;16,43;62,22;9,55
3512704;Corumbataí;Até 5 mil;RA Campinas;2018;Prefeitura Municipal de Corumbataí;Administração pública direta;99,31;16,67;96,36;14,63
3512803;Cosmópolis;Mais de 50 mil a 100 mil;RA Campinas;2018;Prefeitura Municipal de Cosmópolis;Administração pública direta;98,58;4,84;44,72;22,05
3513009;Cotia;Mais de 100 mil a 500 mil;RM São Paulo;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;34,73;274,65;11,25
3513108;Cravinhos;Mais de 20 mil a 50 mil;RA Ribeirão Preto;2018;Serviço Autônomo de Água e Esgoto;Autarquia;100;26,21;279,67;23,7
3513207;Cristais Paulista;Mais de 5 mil a 10 mil;RA Franca;2018;Prefeitura Municipal de Cristais Paulista;Administração pública direta;98,63;28,36;188,03;14,4
3513306;Cruzália;Até 5 mil;RA Marília;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;24;135,32;12,99
3513405;Cruzeiro;Mais de 50 mil a 100 mil;RA São José dos Campos;2018;Serviço Autônomo de Água e Esgoto;Autarquia;100;62,31;704,34;12,54
3513504;Cubatão;Mais de 100 mil a 500 mil;RA Santos;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;85,42;45,93;546,77;15,09
3513603;Cunha;Mais de 20 mil a 50 mil;RA São José dos Campos;2018;Prefeitura Municipal de Cunha;Administração pública direta;100;6,59;59,32;25,57
3513702;Descalvado;Mais de 20 mil a 50 mil;RA Central;2018;Prefeitura Municipal de Descalvado;Administração pública direta;99,98;32,75;292,11;18,21
3513801;Diadema;Mais de 100 mil a 500 mil;RM São Paulo;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;33,44;253,23;10,38
3513850;Dirce Reis;Até 5 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;9,86;39,16;10,78
3513900;Divinolândia;Mais de 10 mil a 20 mil;RA Campinas;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;26,89;148,37;12,24
3514007;Dobrada;Mais de 5 mil a 10 mil;RA Central;2018;Prefeitura Municipal de Dobrada;Administração pública direta;100;19,85;262,11;29,46
3514106;Dois Córregos;Mais de 20 mil a 50 mil;RA Bauru;2018;Serviço Autônomo de Água e Esgoto de Dois Córregos;Autarquia;99,95;52,49;440,33;12,12
3514205;Dolcinópolis;Até 5 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;15,28;69,26;11,6
3514304;Dourado;Mais de 5 mil a 10 mil;RA Central;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;37,13;236,72;11,88
3514403;Dracena;Mais de 20 mil a 50 mil;RA Presidente Prudente;2018;Empresa de Desenvolvimento, Água, Esgoto e Pavimentação de Dracena;Empresa pública;100;28,3;162,37;12,51
3514502;Duartina;Mais de 10 mil a 20 mil;RA Bauru;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;21,2;100,77;11,3
3514700;Echaporã;Mais de 5 mil a 10 mil;RA Marília;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;26,92;145,46;11,83
3514809;Eldorado;Mais de 10 mil a 20 mil;RA Registro;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;98,64;27,06;135,26;11,05
3514908;Elias Fausto;Mais de 10 mil a 20 mil;RA Campinas;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;22,26;117,91;12,39
3514924;Elisiário;Até 5 mil;RA São José do Rio Preto;2018;Prefeitura Municipal de Elisiário;Administração pública direta;100;35,99;218,6;11,71
3514957;Embaúba;Até 5 mil;RA Barretos;2018;Semae Ambiental Embauba;Autarquia;100;79,43;1.671,19;13,17
3515004;Embu das Artes;Mais de 100 mil a 500 mil;RM São Paulo;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;38,03;247,28;10,03
3515103;Embu-Guaçu;Mais de 50 mil a 100 mil;RM São Paulo;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;85,99;45,54;298,37;9,55
3515129;Emilianópolis;Até 5 mil;RA Presidente Prudente;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;24,8;123,82;11,35
3515152;Engenheiro Coelho;Mais de 10 mil a 20 mil;RA Campinas;2018;Serviço de Água e Esgoto de Engenheiro Coelho;Autarquia;100;37,93;275,12;13,7
3515186;Espírito Santo do Pinhal;Mais de 20 mil a 50 mil;RA Campinas;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;99,14;29,51;180,61;12,43
3515194;Espírito Santo do Turvo;Até 5 mil;RA Marília;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;97,09;30,32;177,53;12,23
